Lambda,L,Lq,W,Wq,SimulatedL,SimulatedLq,SimulatedW,SimulatedWq
15,0.503027,0.00302829,0.0335352,0.000201886,0.519636,0.0160234,0.0343961,0.00106064
16,0.537225,0.00389308,0.0335767,0.000243318,0.552962,0.0177058,0.0344139,0.00110193
17,0.571593,0.00492834,0.0336232,0.000289903,0.588946,0.0195341,0.0344473,0.00114254
18,0.606151,0.00615453,0.0336753,0.000341921,0.624023,0.0217557,0.0344863,0.00120232
19,0.640921,0.00759319,0.033733,0.000399646,0.656315,0.0237789,0.0345175,0.0012506
20,0.675924,0.00926694,0.0337967,0.000463353,0.692804,0.0264684,0.034626,0.00132288
21,0.711186,0.0111995,0.0338667,0.000533318,0.730794,0.0295361,0.0347709,0.00140532
22,0.746729,0.0134155,0.0339431,0.000609811,0.768529,0.0328115,0.0348406,0.00148748
23,0.782578,0.0159408,0.0340264,0.000693104,0.804847,0.036511,0.0348908,0.00158278
24,0.818761,0.0188022,0.0341168,0.000783465,0.843172,0.0404335,0.0349957,0.00167818
25,0.855303,0.0220275,0.0342145,0.000881161,0.877743,0.0443244,0.0350245,0.00176868
